iter	Passed	Remaining
455	951	1135
456	953	1132
457	954	1130
458	958	1130
459	960	1128
460	962	1125
461	964	1122
462	965	1120
463	967	1117
464	975	1122
465	1019	1168
466	1022	1167
467	1024	1164
468	1025	1161
469	1027	1159
470	1032	1159
471	1034	1157
472	1043	1162
473	1044	1159
474	1046	1156
475	1053	1160
476	1055	1157
477	1057	1154
478	1058	1151
479	1060	1148
480	1061	1145
481	1067	1147
482	1111	1190
483	1118	1192
484	1124	1194
485	1157	1224
486	1159	1220
487	1160	1217
488	1165	1218
489	1174	1222
490	1176	1219
491	1182	1220
492	1183	1217
493	1185	1214
494	1186	1210
495	1188	1207
496	1189	1203
497	1190	1200
498	1191	1196
499	1195	1195
500	1196	1191
501	1197	1187
502	1198	1183
503	1199	1180
504	1200	1176
505	1201	1172
506	1202	1169
507	1203	1165
508	1204	1161
509	1205	1157
510	1206	1154
511	1209	1152
512	1210	1149
513	1212	1145
514	1213	1142
515	1214	1138
516	1214	1135
517	1215	1131
518	1216	1127
519	1217	1124
520	1218	1120
521	1219	1117
522	1220	1113
523	1221	1110
524	1224	1108
525	1225	1104
526	1226	1100
527	1227	1097
528	1228	1093
529	1229	1090
530	1230	1086
531	1231	1083
532	1232	1080
533	1234	1076
534	1235	1073
535	1236	1069
536	1236	1066
537	1239	1064
538	1240	1061
539	1241	1057
540	1242	1054
541	1243	1051
542	1244	1047
543	1246	1044
544	1247	1041
545	1248	1038
546	1249	1034
547	1250	1031
548	1251	1028
549	1252	1024
550	1253	1021
551	1254	1018
552	1255	1015
553	1256	1011
554	1257	1008
555	1258	1005
556	1259	1002
557	1260	998
558	1261	995
559	1262	992
560	1264	989
561	1265	986
562	1268	984
563	1269	981
564	1270	977
565	1271	974
566	1272	971
567	1273	968
568	1274	965
569	1275	962
570	1276	959
571	1277	956
572	1278	953
573	1280	950
574	1282	948
575	1283	945
576	1284	941
577	1285	938
578	1286	935
579	1288	932
580	1289	929
581	1290	926
582	1291	923
583	1292	920
584	1293	917
585	1294	914
586	1295	911
587	1297	909
588	1298	906
589	1299	903
590	1300	900
591	1302	897
592	1303	894
593	1304	891
594	1305	888
595	1306	885
596	1307	882
597	1308	879
598	1309	876
599	1310	873
600	1312	871
601	1313	868
602	1314	865
603	1315	862
604	1317	859
605	1318	857
606	1319	854
607	1320	851
608	1321	848
609	1322	845
610	1322	842
611	1323	839
612	1324	836
613	1327	834
614	1328	831
615	1330	829
616	1331	826
617	1332	823
618	1333	820
619	1334	817
620	1335	814
621	1336	812
622	1337	809
623	1338	806
624	1339	803
625	1340	800
626	1343	799
627	1345	796
628	1346	794
629	1347	791
630	1348	788
631	1349	785
632	1350	782
